ROG3,PeopleID3,ROP3,PeopNameInCountry,ROG2,Continent,RegionName,ISO3,LocationInCountry,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,PeopNameAcrossCountries,Population,Category,ROL3,PrimaryLanguageName,PrimaryLanguageDialect,NumberLanguagesSpoken,OfficialLang,SpeakNationalLang,BibleStatus,BibleYear,NTYear,PortionsYear,TranslationNeedQuestionable,JPScale,JPScalePC,JPScalePGAC,LeastReached,LeastReachedPC,LeastReachedPGAC,GSEC,JF,AudioRecordings,NTOnline,RLG3,RLG3PC,RLG3PGAC,PrimaryReligion,PrimaryReligionPC,PrimaryReligionPGAC,RLG4,ReligionSubdivision,PCIslam,PCNonReligious,PCUnknown,SecurityLevel,LRTop100,PhotoAddress,PhotoCredits,PhotoCreditURL,PhotoCreativeCommons,PhotoCopyright,PhotoPermission,ProfileTextExists,CountOfCountries,CountOfProvinces,Longitude,Latitude,Ctry,IndigenousCode,PercentAdherents,PercentChristianPC,NaturalName,NaturalPronunciation,PercentChristianPGAC,PercentEvangelical,PercentEvangelicalPC,PercentEvangelicalPGAC,PCBuddhism,PCEthnicReligions,PCHinduism,PCOtherSmall,RegionCode,PopulationPGAC,Frontier,MapAddress,PhotoCCVersionText,PhotoCCVersionURL,MapCredits,MapCreditURL,MapCopyright,MapCCVersionText,MapCCVersionURL,Window1040,PeopleGroupMapURL,PeopleGroupMapExpandedURL,PeopleGroupURL,PeopleGroupPhotoURL,CountryURL,JPScaleText,JPScaleImageURL,Summary,Obstacles,HowReach,PrayForChurch,PrayForPG,BibleStatusText
"SY","11620","102733","Druze","ASI","Asia","Africa, North and Middle East","SYR",,"10","A001","Arab World","113","C0015","Arab, Levant","Druze","760000","2","apc","Arabic, Levantine",,"1","Arabic, Standard",,"3",,,"1939-2021",,"1","2","1","Y","N","Y","1","N","Y","Y","8","6","8","Other / Small","Islam","Other / Small","32","Druze","0","0","0","2","N","p11620.jpg","CharlesFred - Flickr","https://flickr.com/photos/charlesfred/2509940159","Y","N","N","Y","6",,"36.477045624056302","32.517062294789099","Syria","Y","0.35999999999999999","6.0759999999999996","Druze","drooz","0.25700000000000001","0.35999999999999999","0.374","0.247","0","0","0","99.640000000000001","6","1117700","N","m11620_sy.png","CC BY-NC-SA 2.0","https://creativecommons.org/licenses/by-nc-sa/2.0/","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11620_sy.png","https://joshuaproject.net/assets/media/profiles/maps/m11620_sy.pdf","https://joshuaproject.net/people_groups/11620/SY","https://joshuaproject.net/assets/media/profiles/photos/p11620.jpg","https://joshuaproject.net/countries/SY","Unreached","https://joshuaproject.net/images/scale1.jpg","""Druze"" is a word derived from el-Drzi, the name of one of the early propagandists of the Druze religion. The religion of the Druze began in the 9th century as a sect of Islam. Druze hold the Qur'an to be sacred, but look upon it as an outer shell, holding an ""inner, esoteric meaning."" They can be found in Israel, Lebanon and Syria, where they follow a lifestyle of isolation.","The Druze see Jesus as a major prophet, but not the Son of God. Also, their life of isolation makes them resistant to outside influences.","Christian Arabs may have special rapport with the Druze. Perhaps the Lord will grant a burden for the Druze to some Middle Eastern Christian Arabs, and also to Messianic Jews in Israel.","Pray for the few believers among the Druze, that the Lord may strengthen them out of his glorious riches so that Christ may dwell in their hearts through faith. Pray these believers would fellowship together and grow as the body of Christ.","Pray each individual in the Druze community would soon become persuaded that Jesus is truly the Son of God, and would place their faith in his finished work on the cross. Pray for multiplying disciples among the Druze.","Portions"
"MO","12217","104002","Berber","AFR","Africa","Africa, North and Middle East","MAR","Widespread, especially Middle and east High Atlas Mountains, adjacent valleys to Taza, Rabat area; 1,200,000 in rural areas between Taza, Khemisset, Azilal, Errachidia; 100,000 outside the language area.","10","A001","Arab World","145","C0049","Berber-Shilha","Berber","2895000","3","tzm","Tamazight, Central Atlas",,"1","Arabic, Standard",,"3",,,"1919-2020",,"1","2","1","Y","N","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"99.730000000000004","0","0","2","N","p12217.jpg","Tussna - Wikimedia","https://commons.wikimedia.org/wiki/File:Berbers_from_Morocco_Imazighen.png","Y","N","N","Y","6",,"-4.0699000002848003","32.608699999805097","Morocco","Y","0.070000000000000007","7.6210000000000004","Berber","ee-MAH-zah-yen BUR-bur","0.087999999999999995","0.056000000000000001","0.17599999999999999","0.070000000000000007","0","0","0","0.19996320570106699","6","4834200","Y","m12217_mo.png","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m12217_mo.png","https://joshuaproject.net/assets/media/profiles/maps/m12217_mo.pdf","https://joshuaproject.net/people_groups/12217/MO","https://joshuaproject.net/assets/media/profiles/photos/p12217.jpg","https://joshuaproject.net/countries/MO","Unreached","https://joshuaproject.net/images/scale1.jpg","Imazighen or Amazigh (singular) is the original ethnic group of the Maghreb region in North Africa, also known as the Berbers. These unique people continued to maintain their traditions even after the invasion by Arabs, who brought Islam. However, many Imazighen people were forced to become Muslims, and the majority of their descendants today are Muslims. There are some who are making an active effort to achieve recognition of the ""Moroccan Amazigh identity,"" but others are happy to live and mix with Arabs.","Following Jesus in Morocco is not an easy path. When someone decides to follow the Savior, there will almost certainly be pressure from family and society to return to Islam.","Many Imazighen people are very disillusioned with Islam. They see how it has been used to bring in Arabic language and culture and diminish their language and culture. They might be open to hearing about a sinless Savior if he is introduced in their language.","Pray for Imazighen believers to have the love and boldness to share Christ with their families.","There are many opportunities for the Imazighen to hear the gospel: satellite programs, internet, and local and foreign believers. Pray for the Holy Spirit to open the hearts of Imazighen people and bring seekers into contact with Christian programs or believers.","Portions"
"AG","10379","100226","Algerian, Arabic-speaking","AFR","Africa","Africa, North and Middle East","DZA",,"10","A001","Arab World","115","C0017","Arab, Maghreb","Algerian, Arabic-speaking","33607000","3","arq","Arabic, Algerian",,"1","Arabic, Standard",,"4",,"1965-2020","1872-1964",,"1","1","1","Y","Y","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam","20","Sunni","95.491","4.5","0","2","Y","p10379.jpg","Basel2019 - Wikimedia","https://commons.wikimedia.org/wiki/File:Algerian_man_with_turban.jpg","Y","N","N","Y","19",,"5.3894385742307804","35.997424582778301","Algeria","Y","0.0089999999999999993","0.088999999999999996","Arabic-speaking Algerian","al-JEER-ee-un","0.028000000000000001","0.0080000000000000002","0.037999999999999999","0.014999999999999999","0","0","0","0","6","37280900","Y","m10379_ag.png","CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10379_ag.png","https://joshuaproject.net/assets/media/profiles/maps/m10379_ag.pdf","https://joshuaproject.net/people_groups/10379/AG","https://joshuaproject.net/assets/media/profiles/photos/p10379.jpg","https://joshuaproject.net/countries/AG","Unreached","https://joshuaproject.net/images/scale1.jpg","People groups change through the centuries. The Romans conquered Algeria and the Berber peoples who lived there. In the seventh century, the Arab Empire was in full swing, and they conquered and settled that same land. Though Algeria is culturally Arab, their form of Arabic has borrowed a number of words from the earlier Berbers. Thus, the nations of North Africa have their own forms of Arabic.","As Muslims, they believe that they must please Allah by obeying the right laws.","Because urbanization settles people and opens them to new ideas, reaching them in towns may be the best way to reach them. The gospel can be presented on social media, the JESUS Film, the Bible and audio recordings, which are available in Algerian Arabic. Some also speak Spanish, French and Standard Arabic, so other resources might be useful for showing them the way to the cross.","Pray that believers would grow in grace and knowledge of Jesus and the Bible.","Pray that the uncertainties of life would open them to seek Jesus as the answer. Pray that the JESUS Film and audio materials would be used effectively among them. ","New Testament"
"EG","10379","100226","Algerian, Arabic-speaking","AFR","Africa","Africa, North and Middle East","EGY","Scattered","10","A001","Arab World","115","C0017","Arab, Maghreb","Algerian, Arabic-speaking","2059000","1","arq","Arabic, Algerian",,"1","Arabic, Standard",,"4",,"1965-2020","1872-1964",,"1","1","1","Y","Y","Y",,"Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"97.680000000000007","2","0","2","N","p10379.jpg","Basel2019 - Wikimedia","https://commons.wikimedia.org/wiki/File:Algerian_man_with_turban.jpg","Y","N","N","Y","19",,"31.125889999623801","30.444790000258301","Egypt","N","0.019","0.088999999999999996","Arabic-speaking Algerian","al-JEER-ee-un","0.028000000000000001","0.012","0.037999999999999999","0.014999999999999999","0","0","0","0.29999999999999999","6","37280900","Y","m10379_eg.png","CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/","People Group location: Ethnologue and Worldpop, Univ of Southampton. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10379_eg.png","https://joshuaproject.net/assets/media/profiles/maps/m10379_eg.pdf","https://joshuaproject.net/people_groups/10379/EG","https://joshuaproject.net/assets/media/profiles/photos/p10379.jpg","https://joshuaproject.net/countries/EG","Unreached","https://joshuaproject.net/images/scale1.jpg","Algerian people have suffered very much in their history from French colonial exploitation to wars of liberation and civil wars. Numbers of Algerians have migrated to Egypt where agriculture still employs almost one-third of the nation, and cities are expanding.","Algerian people in Egypt are tightly knit Muslims in a closed society. They naturally do not accept feedback from Christians, so reaching this spiritually needy people will be a challenge, but not for Almighty God who loves these people.","Since love casts out fear, there is much opportunity for God's love to permeate this fear-based society. Opportunities for practical, loving helps abound in Egypt among needy Algerians.","Pray that the Holy Spirit will show the few Algerian believers ways to intentionally gather together to regularly sow the Word into their hearts (Heb 10:19-25). Simple things grow, simple things multiply—pray for simple church and small groups to be a fruitful hallmark of Algerian believers (Acts 2:41-47).","Pray for Almighty God to pour out His Holy Spirit on the families of Algerian Arabs in Egypt, especially the children and youth. Ask God to raise up and send out a new generation of fruitful, multiplying witnesses to these people who need to know the Savior.","New Testament"
"LY","10379","100226","Algerian, Arabic-speaking","AFR","Africa","Africa, North and Middle East","LBY",,"10","A001","Arab World","115","C0017","Arab, Maghreb","Algerian, Arabic-speaking","299000","1","arq","Arabic, Algerian",,"1","Arabic, Standard",,"4",,"1965-2020","1872-1964",,"1","1","1","Y","Y","Y",,"Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"97.900000000000006","2","0","2","N","p10379.jpg","Basel2019 - Wikimedia","https://commons.wikimedia.org/wiki/File:Algerian_man_with_turban.jpg","Y","N","N","Y","19",,"13.204459","32.856960000000001","Libya","N","0.10000000000000001","0.088999999999999996","Arabic-speaking Algerian","al-JEER-ee-un","0.028000000000000001","0.029999999999999999","0.037999999999999999","0.014999999999999999","0","0","0","0","6","37280900","Y","m00316.png","CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/","University of Texas Map Collection","https://www.lib.utexas.edu/maps/africa/libya_ethnic_1974.jpg","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m00316.png","https://joshuaproject.net/assets/media/profiles/maps/m00316.pdf","https://joshuaproject.net/people_groups/10379/LY","https://joshuaproject.net/assets/media/profiles/photos/p10379.jpg","https://joshuaproject.net/countries/LY","Unreached","https://joshuaproject.net/images/scale1.jpg","Like all people in Libya during this time of instability, the Algerian Arabs are struggling to stay safe on a daily basis. Many will return to nearby Algeria to live in safety. As migrants from another country, the Algerians have no defense from the police, and they can be denied essential medical care unless they can prove they are Libyan citizens.","The Algerian Arabs are almost entirely Sunni Muslims. The few Algerians who have accepted the salvation of Christ are almost all from the Berber tribes. A central part of the Algerian Arab's identity is in being Muslim.","Algerian Arabs have been known to seek other spiritual answers when grappling with a practical need like illnesses. Christ followers with the gift of healing can make a lasting impact on these Muslims through loving them and praying for their sick.","","Pray that the current crisis in Libya will open Algerian hearts to the savior who is a high tower in times of trouble.
Pray for them to seek and find answers in Christ.
Pray for Christ's ambassadors to go to Libya to seek and find the lost.
Pray for a movement to Christ among Algerian Arabs everywhere.
","New Testament"
"IZ","10464","100574","Assyrian","ASI","Asia","Africa, North and Middle East","IRQ","Northern Iraq, mainly Dahuk and Ninawa governorates, 2 enclaves, one northeast of Buhayrat al Mawsil, the other, at Turkish border; scattered in Baghdad, Al Basrah, At Ta’mim (Kirkuk), and Arbil governorates.","10","A001","Arab World","121","C0023","Assyrian / Aramaic","Assyrian","202000","1","aii","Assyrian Neo-Aramaic","Assyrian","1","Arabic, Standard",,"5","1852-1966","1846-2002","1840-1993",,"3","3","3","N","N","N","1","Y","Y","Y","1","1","1","Christianity","Christianity","Christianity",,,"0","5","0","2","N","p10464.jpg","Levi Clancy - Wikimedia","https://commons.wikimedia.org/wiki/File:Assyrians_celebrating_Assyrian_New_Year_%28Akitu%29_year_6769_%28April_1st_2019%29_in_Duhok_%28Nohaadra%29_19.jpg","Y","N","N","Y","23",,"42.996502012110803","36.756234048339998","Iraq","Y","95","86.629000000000005","Assyrian",,"93.275000000000006","1","1.1739999999999999","1.4259999999999999","0","0","0","0","6","940600","N","m10464_iz.png","CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/","Bryan Nicholson / cartoMission","https://www.cartomission.com","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10464_iz.png","https://joshuaproject.net/assets/media/profiles/maps/m10464_iz.pdf","https://joshuaproject.net/people_groups/10464/IZ","https://joshuaproject.net/assets/media/profiles/photos/p10464.jpg","https://joshuaproject.net/countries/IZ","Superficially Reached","https://joshuaproject.net/images/scale3.jpg","","","","","","Complete Bible"
"KU","10759","101196","Arab, Saudi - Najdi","ASI","Asia","Africa, North and Middle East","KWT",,"10","A001","Arab World","111","C0013","Arab, Arabian","Arab, Saudi - Najdi","259000","1","ars","Arabic, Najdi",,"1","Arabic, Standard",,"3",,,"2004-2013",,"1","1","1","Y","Y","Y","1","N","Y",,"6","6","6","Islam","Islam","Islam",,,"99.900000000000006","0.10000000000000001","0","2","N","p10759.jpg","Sam Nord - Shutterstock",,"N","Y","Y","Y","11",,"47.192909999999998","29.501370000000001","Kuwait","N","0","0.40500000000000003","Najdi Arab","nahj-DEE AE-rub","0.071999999999999995","0","0.11700000000000001","0.063","0","0","0","0","6","18835500","Y","m10759_ku.png","","","People Group location: SIL. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10759_ku.png","https://joshuaproject.net/assets/media/profiles/maps/m10759_ku.pdf","https://joshuaproject.net/people_groups/10759/KU","https://joshuaproject.net/assets/media/profiles/photos/p10759.jpg","https://joshuaproject.net/countries/KU","Unreached","https://joshuaproject.net/images/scale1.jpg","Najdi is a tribe that straddles what we call Arabs and what we call Bedouins, so we call them Bedouin Arabs. The traditional homeland of the Bedouin Arabs is the Arabian Desert; however, some Bedouin groups have migrated north into the Negev Desert region. Kuwait is one of the countries where they now reside. Most of them have given up the Bedouin lifestyle and live in Kuwait City.","There is little or no Christian witness, nor any example of living Christianity for the Najdi Arabs to see or experience.","There is a need for missionaries who are willing and able to go where the gospel is weakest and reach the Najdi Arabs in Kuwait. They can use stories, poems and music that is appealing in their culture.","","Pray for these remote Muslims to have dreams and visions of the Risen Savior and be drawn to him.
Pray for workers who are willing to learn a difficult language and produce gospel materials for these people who need to hear good news.
Pray for the rapid spread of the gospel among the Nadji Bedouin Arabs.","Portions"
"IZ","11295","101983","Chaldean","ASI","Asia","Africa, North and Middle East","IRQ","Contiguous with Assyrian Neo-Aramaic [aii] enclaves in Dahuk and Ninawa governorates.","10","A001","Arab World","121","C0023","Assyrian / Aramaic","Chaldean","97000","1","cld","Chaldean Neo-Aramaic",,"1","Arabic, Standard",,"4",,"2006","1992",,"3","3","3","N","N","N","1","Y","Y","Y","1","1","1","Christianity","Christianity","Christianity",,,"0","4","0","2","N","p11295.jpg","Christopher Younan",,"N","N","N","Y","6",,"42.998753463321101","36.7504024472777","Iraq","Y","96","86.629000000000005","Chaldean",,"95.349000000000004","1","1.1739999999999999","1.022","0","0","0","0","6","131400","N","m11295_iz.png","","","Bryan Nicholson / cartoMission","https://www.cartomission.com","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11295_iz.png","https://joshuaproject.net/assets/media/profiles/maps/m11295_iz.pdf","https://joshuaproject.net/people_groups/11295/IZ","https://joshuaproject.net/assets/media/profiles/photos/p11295.jpg","https://joshuaproject.net/countries/IZ","Superficially Reached","https://joshuaproject.net/images/scale3.jpg","","","","","","New Testament"
"CD","11527","102502","Baggara, Dekakire","AFR","Africa","Africa, West and Central","TCD","Widespread, center and south.","10","A001","Arab World","116","C0018","Arab, Shuwa","Baggara, Dekakire","20000","3","shu","Arabic, Chadian",,"1","Arabic, Standard",,"5","2019-2023","2012","1964",,"1","1","1","Y","Y","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"95.650001525878906","0.34000000357627902","0","2","N","p11527.jpg","Sudan 101",,"N","N","N","Y","1",,"16.145219003654098","11.254918102788199","Chad","Y","0.01","0.34399999999999997","Dekakire Baggara",,"0.01","0.01","0.26900000000000002","0.01","0","0","0","4","8","20000","Y","m11527_cd.png","","","Joshua Project / Global Mapping International","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11527_cd.png","https://joshuaproject.net/assets/media/profiles/maps/m11527_cd.pdf","https://joshuaproject.net/people_groups/11527/CD","https://joshuaproject.net/assets/media/profiles/photos/p11527.jpg","https://joshuaproject.net/countries/CD","Unreached","https://joshuaproject.net/images/scale1.jpg","The name Baggara comes from the Arabic Baqqara, the word for cattle. They are cattle herding Arabs. The Dekakire are one of the Baggara subgroups. The Baggara claim origin from Arabs in the Hijaz, the Red Sea coast area of the Arabian Peninsula, perhaps around 1100-1200 AD. They have been Muslims since the thirteenth century. The Baggara wear the clothes prescribed by the Muslim religion, and bury their dead facing Mecca. They believe strongly in evil spirits.","The Baggara are usually somewhat nomadic, making it especially difficult to establish relationships with them. Also, they have been committed to Islam for centuries.","Pray for Gospel radio to become available to these nomadic people in Chad, and that the people will learn of these broadcasts. Pray for excellent programming, so the people will listen.","It is questionable if there are any followers of Jesus among the Dekakire Baggara. Pray the Lord will soon prepare workers to take the Gospel to these people, and that he is preparing the Dekakire for these workers.","Pray for the Baggara to have sufficient rainfall for their herds and for their crops. Pray also they will have an increasing desire to find forgiveness for their sin.","Complete Bible"
"LE","11620","102733","Druze","ASI","Asia","Africa, North and Middle East","LBN","Widespread.","10","A001","Arab World","113","C0015","Arab, Levant","Druze","229000","2","apc","Arabic, Levantine",,"1","Arabic, Standard",,"3",,,"1939-2021",,"1","2","1","Y","N","Y","1","N","Y","Y","8","6","8","Other / Small","Islam","Other / Small","32","Druze","5","10","0","1","N","p11620.jpg","CharlesFred - Flickr","https://flickr.com/photos/charlesfred/2509940159","Y","N","N","Y","6",,"35.595770717744401","33.676887307603103","Lebanon","Y","0.050000000000000003","6.0759999999999996","Druze","drooz","0.25700000000000001","0.0089999999999999993","0.374","0.247","0","0","0","85","6","1117700","Y","m11620_le.png","CC BY-NC-SA 2.0","https://creativecommons.org/licenses/by-nc-sa/2.0/","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11620_le.png","https://joshuaproject.net/assets/media/profiles/maps/m11620_le.pdf","https://joshuaproject.net/people_groups/11620/LE","https://joshuaproject.net/assets/media/profiles/photos/p11620.jpg","https://joshuaproject.net/countries/LE","Unreached","https://joshuaproject.net/images/scale1.jpg","Have you ever heard of the Druze people? Their homeland is Lebanon, Israel and Syria. The Druze religion is an offshoot of Islam and appeared in the ninth century. They are firmly monotheistic. Druze hold the Koran as sacred. They also have their own inspired scripture called the Book of Wisdom. Druze believe in the transmigration of the soul. That is, at death, one's soul is instantaneously reincarnated, and it is reborn into another life. Druze do not evangelize or accept converts into their religion. They are loyal to the country where they live. They are known as fierce soldiers who have no fear of death. Druze in Lebanon speak Northern Levantine Arabic as their first language.","If a Druze man or woman becomes a follower of Jesus Christ, he or she will be excluded from the Druze community. The nation of Lebanon is currently experiencing chaos, violence and insecurity. This makes it difficult for ideas to spread.","There are no believers among the Druze in Lebanon as far as we know, so pray for this to change soon.","Radio and TV programs in Levantine Arabic can deliver the good news with the Druze. ","Pray the Lord would lead Druze to listen to Christian radio programs. Pray that many Druze living outside of their homeland would become followers of Jesus Christ. Pray that believing Druze would go to Lebanon and tell their family and friends about the Savior.","Portions"
"YM","11722","102879","Arab, Egyptian","ASI","Asia","Africa, North and Middle East","YEM",,"10","A001","Arab World","163","C0067","Egyptian","Arab, Egyptian","18000","1","arz","Arabic, Egyptian",,"1","Arabic, Standard",,"5","2021","1932","1905-2007",,"1","4","4","Y","N","N","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"97","1","0","2","N","p11722.jpg","Terry Feuerborn - Flickr","https://flickr.com/photos/travfotos/23113562352/","Y","N","N","Y","35",,"44.229992690510201","15.3282748282207","Yemen","N","2","14.677","Egyptian Arab","ee-GYP-shun AE-rub","14.914999999999999","1","5.008","4.9710000000000001","0","0","0","0","6","78032000","N","m00325.png","CC BY-NC 2.0","https://creativecommons.org/licenses/by-nc/2.0/","Pioneers","https://www.cartpioneers.org/products/Peoples-of-Yemen-Prayer-Guide.html","Y","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m00325.png","https://joshuaproject.net/assets/media/profiles/maps/m00325.pdf","https://joshuaproject.net/people_groups/11722/YM","https://joshuaproject.net/assets/media/profiles/photos/p11722.jpg","https://joshuaproject.net/countries/YM","Unreached","https://joshuaproject.net/images/scale1.jpg","Egyptian Arabs are known for their music, which is popular in many Arab countries, including Yemen. Egyptian Arabic is the most widely understood form of the language, because much of the Arab World's newscasts come from Egypt. Cairo is the center of Islamic publications and learning. There have been several times when Egyptian forces have entered Yemen. Yemenis no doubt feel dominated by the more powerful Egyptians.","Though there are Coptic Christians in Egypt, very few believers are in Yemen. It will be very difficult for anyone to reach these Sunni Muslims. Their trust is in the prophesies of Mohammed and the later teachings of Muslim experts called the Hadith.","Satellite TV programs like SAT-7 can reach this remote part of the Arabic-speaking part of the world. Someone could collect addresses to send them tracts, Bibles, and global recordings.","Pray that Egyptian Christians would start a mighty missionary movement to Yemen.","Pray for an increase in finances and the ability to provide Bibles for the Egyptian Arabs.
Pray that there will soon be a Christ-centered church planting movement among Egyptian and Yemeni Arabs in Yemen.","Complete Bible"
"AE","12247","104056","Arab, Iraqi","ASI","Asia","Africa, North and Middle East","ARE",,"10","A001","Arab World","113","C0015","Arab, Levant","Arab, Iraqi","49000","1","acm","Arabic, Mesopotamian",,"1","Arabic, Standard",,"4",,"Yes","Yes",,"1","2","1","Y","N","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"97.200000000000003","1","0","2","N","p12247.jpg","Christiaan Briggs - Wikimedia","https://commons.wikimedia.org/wiki/File:Iraqi_man_on_Baghdad_street.jpg","Y","N","N","Y","24",,"55.287296169782401","25.255854016349801","United Arab Emirates","N","0.80000000000000004","6.0759999999999996","Iraqi Arab","ee-RAH-kee AE-rub","1.1719999999999999","0.20000000000000001","0.374","0.223","0","0","0","1","6","21994000","N","m12247_ae.png","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m12247_ae.png","https://joshuaproject.net/assets/media/profiles/maps/m12247_ae.pdf","https://joshuaproject.net/people_groups/12247/AE","https://joshuaproject.net/assets/media/profiles/photos/p12247.jpg","https://joshuaproject.net/countries/AE","Unreached","https://joshuaproject.net/images/scale1.jpg","What makes an Arab an Arab? They populate most of the Middle East and 22 countries. The two most common traits that all Arabs have is their language, Arabic, and their shared cultural values. Iraqi Arabs began to migrate to the United Arab Emirates (UAE) because of instability at home. Students make up a large portion of the immigration to the UAE in light of its reputable institutions across the Middle East.","Iraqi Arabs often identify heavily with Islam, and they automatically reject anything that sounds Christian to them. Breaking down the ""walls"" that prevent Iraqi Arabs from hearing and receiving the gospel will take much prayer and wisdom.","Sending professional missionaries (doctors, engineers, etc.) who can interact on a personal or professional way will give more opportunities to share Christ with them. They should also show respect for their culture and attempt to learn more about it. In doing so, they can offer an exchange of ideas, giving an opportunity to tell them about Jesus and the salvation he offers.","","Pray that Iraqi Arabs would respond to prayers for them to have a curiosity about Christ and that the Holy Spirit would soften their hearts.
Pray for a Christ-ward movement among Iraqi Arabs, not only in the UAE but also in Iraq.","New Testament"
"IZ","12247","104056","Arab, Iraqi","ASI","Asia","Africa, North and Middle East","IRQ","Tigris and Euphrates area","10","A001","Arab World","113","C0015","Arab, Levant","Arab, Iraqi","20501000","3","acm","Arabic, Mesopotamian",,"2","Arabic, Standard",,"4",,"Yes","Yes",,"1","2","1","Y","N","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"97.299999999999997","0.20000000000000001","0","2","Y","p12247.jpg","Christiaan Briggs - Wikimedia","https://commons.wikimedia.org/wiki/File:Iraqi_man_on_Baghdad_street.jpg","Y","N","N","Y","24",,"44.357945496387501","33.296633993264201","Iraq","Y","0.5","6.0759999999999996","Iraqi Arab","ee-RAH-kee AE-rub","1.1719999999999999","0.20000000000000001","0.374","0.223","0","0","0","2","6","21994000","N","m12247_iz.png","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m12247_iz.png","https://joshuaproject.net/assets/media/profiles/maps/m12247_iz.pdf","https://joshuaproject.net/people_groups/12247/IZ","https://joshuaproject.net/assets/media/profiles/photos/p12247.jpg","https://joshuaproject.net/countries/IZ","Unreached","https://joshuaproject.net/images/scale1.jpg","For years, the Arabs have formed about 70% of the total population of Iraq. Most Shia Muslims in southern Iraq and the Sunnis live primarily in central Iraq. Social life is important to Arabs. They like to share a daily coffee time by sitting on the floor and drinking from cups without handles. Iraq also has a long Christian history. The Apostle Thomas brought Christianity to Mesopotamia. The ancient Christian Church has been a part of Iraqi culture since that time. ","Iraq is presently in turmoil. This offers both obstacles and opportunities for the Iraqi Arabs to learn more fully of who Jesus truly is, but that will require believers to obey the Lord faithfully.","Iraqi Arabs need sustained prayer for understanding of the gospel. Gospel radio, television, Christian websites and personal witness are great tools to reach the hearts of Arabs in Iraq.","Pray for protection of the faith of Iraqi Arab believers and for their families. Pray the Lord would encourage them and give them fruit from his Spirit: love, joy and peace. ","Pray for peace, fairness and stability in Iraq. Pray the various factions in Iraq would give up hatred and revenge. Pray the current disorder would prepare them for the gospel of peace that Jesus offers. ","New Testament"
"IN","10375","100425","Arab","ASI","Asia","Asia, South","IND",,"10","A001","Arab World","111","C0013","Arab, Arabian","Arab","2800","3","acm","Arabic, Mesopotamian",,"1","Hindi",,"4",,"Yes","Yes",,"1","1","2","Y","Y","N","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p10375.jpg","Hashim Abdullah - Pixabay","https://pixabay.com/photos/people-students-walk-street-muslim-6284192/","N","N","N","Y","31",,"75.086413977713093","13.4536380965327","India","N","0","0.40500000000000003","Arab","AE-rub","7.6449999999999996","0","0.11700000000000001","0.628","0","0","0","0","4","768800","Y","m10375.png","","","People Group data: Omid.  Map geography: UNESCO / GMI.  Map Design: Joshua Project","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10375.png","https://joshuaproject.net/assets/media/profiles/maps/m10375.pdf","https://joshuaproject.net/people_groups/10375/IN","https://joshuaproject.net/assets/media/profiles/photos/p10375.jpg","https://joshuaproject.net/countries/IN","Unreached","https://joshuaproject.net/images/scale1.jpg","","","","","","New Testament"
