FacilityAccessibilityText,FacilityAdaAccess,FacilityEmail,FacilityID,FacilityLatitude,FacilityLongitude,FacilityMapURL,FacilityName,FacilityPhone,FacilityReservationURL,FacilityTypeDescription,TYPE,LastUpdatedDate,LegacyFacilityID,EntityID,EntityMediaID,EntityType,Height,IsGallery,IsPreview,IsPrimary,MediaType,Subtitle,Title,URL,Width,OrgFacilityID,ParentOrgID,ParentRecAreaID,Reservable,StayLimit
"","No","jela_interpretation@nps.gov","258930",30.213395999999999,-91.994157000000001,"","Acadian Cultural Center","(337) 232-0789","","Facility","Point",2024-06-12 00:00:00.0000000,"","258930","10086630","Facility",3024,True,False,False,"Image","The museum as exhibits highlighting different aspects of Cajun culture","ACC Museum","https://cdn.recreation.gov/public/2020/10/09/18/42/258930_000cdf3e-f320-4dce-a4d9-001278b3ecdc.jpeg",4032,"2488","128","13950",False,""
"","No","jela_interpretation@nps.gov","258930",30.213395999999999,-91.994157000000001,"","Acadian Cultural Center","(337) 232-0789","","Facility","Point",2024-06-12 00:00:00.0000000,"","258930","10086632","Facility",3024,True,False,False,"Image","Music is an important part of Cajun culture","ACC Musical Instruments","https://cdn.recreation.gov/public/2020/10/09/18/43/258930_09e98bfd-3b17-4ce9-9211-640914fb11ec.jpeg",4032,"2488","128","13950",False,""
"","No","jela_interpretation@nps.gov","258932",29.954740000000001,-90.064698000000007,"","French Quarter Visitor Center","(504) 589-2636","","Facility","Point",2023-09-20 00:00:00.0000000,"","258932","10086638","Facility",3024,True,False,False,"Image","Take a rest in our serene and historic courtyard","FQ Courtyard 2019","https://cdn.recreation.gov/public/2020/10/09/19/08/258932_5c1be276-213e-43ae-86ac-6711f90205de.jpeg",4032,"2507","128","13950",False,""
"","No","jela_interpretation@nps.gov","258932",29.954740000000001,-90.064698000000007,"","French Quarter Visitor Center","(504) 589-2636","","Facility","Point",2023-09-20 00:00:00.0000000,"","258932","10086648","Facility",3024,True,False,False,"Image","Enter our visitor center from the courtyard","Doors to the Visitor Center","https://cdn.recreation.gov/public/2020/10/09/19/21/258932_ce4dea51-7257-4cd9-a8f3-5fe931ef14ee.jpeg",4032,"2507","128","13950",False,""
"","No","jela_interpretation@nps.gov","258932",29.954740000000001,-90.064698000000007,"","French Quarter Visitor Center","(504) 589-2636","","Facility","Point",2023-09-20 00:00:00.0000000,"","258932","10086639","Facility",2134,True,False,False,"Image","Inside our visitor center you'll learn about the cultural history of southern Louisiana","Inside the visitor center","https://cdn.recreation.gov/public/2020/10/09/19/10/258932_f846b586-7114-4040-922e-b5f90a1285d7.jpeg",3108,"2507","128","13950",False,""
"","No","jela_interpretation@nps.gov","258932",29.954740000000001,-90.064698000000007,"","French Quarter Visitor Center","(504) 589-2636","","Facility","Point",2023-09-20 00:00:00.0000000,"","258932","10086644","Facility",3024,True,False,False,"Image","Walk down our historic carriageway to find our peaceful courtyard","Historic Carriageway","https://cdn.recreation.gov/public/2020/10/09/19/17/258932_23f69a97-6866-4f77-b5ac-721f415b5428.jpeg",4032,"2507","128","13950",False,""
"","No","jela_interpretation@nps.gov","258932",29.954740000000001,-90.064698000000007,"","French Quarter Visitor Center","(504) 589-2636","","Facility","Point",2023-09-20 00:00:00.0000000,"","258932","10086651","Facility",3024,True,False,False,"Image","Get away from the noise of the Quarter in our peaceful courtyard","French Quarter Courtyard in the Sun","https://cdn.recreation.gov/public/2020/10/09/19/23/258932_b9cfd31f-a202-4858-918f-f60672375e17.jpeg",4032,"2507","128","13950",False,""
"","No","jela_interpretation@nps.gov","258933",30.493148999999999,-92.417309000000003,"","Prairie Acadian Cultural Center","(337) 457-8499","","Facility","Point",2024-06-12 00:00:00.0000000,"","258933","10088177","Facility",1936,True,False,False,"Image","Come to the front desk for information about your visit.","PACC front desk","https://cdn.recreation.gov/public/2020/10/15/17/24/258933_19e63e03-fc9e-4299-898b-715b3336d625.jpeg",2592,"2508","128","13950",False,""
"","No","jela_interpretation@nps.gov","258933",30.493148999999999,-92.417309000000003,"","Prairie Acadian Cultural Center","(337) 457-8499","","Facility","Point",2024-06-12 00:00:00.0000000,"","258933","10088178","Facility",1800,True,False,False,"Image","There’s always something cooking at the Prairie Acadian Cultural Center!","PACC Volunteer","https://cdn.recreation.gov/public/2020/10/15/17/25/258933_67b0d11d-85b0-47c2-a8dc-cda32ca87e87.jpeg",1200,"2508","128","13950",False,""
"","No","jela_interpretation@nps.gov","258933",30.493148999999999,-92.417309000000003,"","Prairie Acadian Cultural Center","(337) 457-8499","","Facility","Point",2024-06-12 00:00:00.0000000,"","258933","10088179","Facility",1936,True,False,False,"Image","Although Acadian men typically rode horses; the women traveled in style.","PACC Carriage","https://cdn.recreation.gov/public/2020/10/15/17/26/258933_759162da-627e-46fa-9ab0-858e8348bf21.jpeg",2592,"2508","128","13950",False,""
"","No","jela_interpretation@nps.gov","258933",30.493148999999999,-92.417309000000003,"","Prairie Acadian Cultural Center","(337) 457-8499","","Facility","Point",2024-06-12 00:00:00.0000000,"","258933","10088183","Facility",4032,True,False,False,"Image","The Prairie Acadians have a unique way of celebrating Mardi Gras.","PACC Mardi Gras","https://cdn.recreation.gov/public/2020/10/15/17/30/258933_000b3798-c0ff-4524-ab76-d8c47a60f43c.jpeg",3024,"2508","128","13950",False,""
"","No","jela_interpretation@nps.gov","258933",30.493148999999999,-92.417309000000003,"","Prairie Acadian Cultural Center","(337) 457-8499","","Facility","Point",2024-06-12 00:00:00.0000000,"","258933","10088186","Facility",414,True,False,False,"Image","Come and listen to talented Cajun musicians at the Prairie Acadian Cultural Center","Music at PACC","https://cdn.recreation.gov/public/2020/10/15/17/31/258933_307501ad-dd6f-4004-9eb3-9856e43c2314.png",684,"2508","128","13950",False,""
"","No","jela_interpretation@nps.gov","258931",29.783954000000001,-90.115526000000003,"","Barataria Preserve","(504) 689-3690","","Facility","Point",2024-06-13 00:00:00.0000000,"","258931","10088488","Facility",3024,True,False,False,"Image","A map of the Lower Mississippi River Delta shows current and expected land change","Area Map Inside the Visitor Center","https://cdn.recreation.gov/public/2020/10/16/18/44/258931_f5c26e17-ca11-47a3-89aa-853ee8499810.jpeg",4032,"2489","128","13950",False,""
"","No","jela_interpretation@nps.gov","258931",29.783954000000001,-90.115526000000003,"","Barataria Preserve","(504) 689-3690","","Facility","Point",2024-06-13 00:00:00.0000000,"","258931","10088489","Facility",3024,True,False,False,"Image","An exhibit inside the visitor center talks about animal life at the preserve.","Animal Exhibit Inside Visitor Center","https://cdn.recreation.gov/public/2020/10/16/18/45/258931_cfe38b94-3e3e-4a34-b46b-7d7d2dadc2f2.jpeg",4032,"2489","128","13950",False,""
"","No","jela_interpretation@nps.gov","258931",29.783954000000001,-90.115526000000003,"","Barataria Preserve","(504) 689-3690","","Facility","Point",2024-06-13 00:00:00.0000000,"","258931","10088491","Facility",3024,True,False,False,"Image","An exhibit on the preserve's forest ecosystem","Forest Exhibit inside Visitor Center","https://cdn.recreation.gov/public/2020/10/16/18/46/258931_549c9e91-2d20-4515-a885-62c9cbf45eb5.jpeg",4032,"2489","128","13950",False,""
"","No","jela_interpretation@nps.gov","258931",29.783954000000001,-90.115526000000003,"","Barataria Preserve","(504) 689-3690","","Facility","Point",2024-06-13 00:00:00.0000000,"","258931","10088492","Facility",4032,True,False,False,"Image","The beginning of the Visitor Center Trail at Barataria","Looking Down the Visitor Center Trail","https://cdn.recreation.gov/public/2020/10/16/18/46/258931_be0ba489-1e5b-4a31-8108-ffc514531cfc.jpeg",3024,"2489","128","13950",False,""
"","No","jela_interpretation@nps.gov","258935",29.942135,-89.994352000000006,"","Chalmette Battlefield and Chalmette National Cemetery","(504) 281-0510","","Facility","Point",2024-06-14 00:00:00.0000000,"","258935","10087975","Facility",3456,True,False,False,"Image","The Visitor Center offers exhibits, films, and information on talks and living history programs.","Chalmette Battlefield Visitor Center","https://cdn.recreation.gov/public/2024/06/14/17/24/258935_10299d29-383e-492a-9386-749d7466ecb3.jpeg",4608,"2511","128","13950",False,""
"","No","jela_interpretation@nps.gov","258935",29.942135,-89.994352000000006,"","Chalmette Battlefield and Chalmette National Cemetery","(504) 281-0510","","Facility","Point",2024-06-14 00:00:00.0000000,"","258935","10087976","Facility",3456,True,False,False,"Image","Take a break in the shade of the oldest oak tree on the battlefield.","Picnic Under Live Oaks","https://cdn.recreation.gov/public/2024/06/14/16/38/258935_740f713e-55f0-4537-82bf-1deeff2433ba.jpeg",4608,"2511","128","13950",False,""
"","No","jela_interpretation@nps.gov","258935",29.942135,-89.994352000000006,"","Chalmette Battlefield and Chalmette National Cemetery","(504) 281-0510","","Facility","Point",2024-06-14 00:00:00.0000000,"","258935","10087980","Facility",1280,True,False,False,"Image","The Chalmette Monument stands as a focal point commemorating the 1815 victory Battle of New Orleans","Chalmette Monument","https://cdn.recreation.gov/public/2020/10/14/22/13/258935_691a5231-cc78-471f-bc95-cefd0a855fc2.jpeg",960,"2511","128","13950",False,""
"","No","jela_interpretation@nps.gov","258935",29.942135,-89.994352000000006,"","Chalmette Battlefield and Chalmette National Cemetery","(504) 281-0510","","Facility","Point",2024-06-14 00:00:00.0000000,"","258935","10087978","Facility",4000,True,False,False,"Image","A British uniform and historic weapons in display cases.","Museum Exhibits","https://cdn.recreation.gov/public/2024/06/14/16/41/258935_1adc1188-1289-4e4a-9a5e-441bbc1c4c5f.jpeg",6000,"2511","128","13950",False,""
"","No","jela_interpretation@nps.gov","258934",29.796188999999998,-90.824950999999999,"","Wetlands Acadian Cultural Center","(985) 448-1375","","Facility","Point",2024-05-28 00:00:00.0000000,"","258934","10086620","Facility",2304,True,False,False,"Image","Step into our past!","Entry - Wetlands Acadian Cultural Center","https://cdn.recreation.gov/public/2020/10/09/18/16/258934_dc59a6b0-f962-4413-9965-92d1572d7a39.jpeg",3072,"2509","128","13950",False,""
"","No","jela_interpretation@nps.gov","258934",29.796188999999998,-90.824950999999999,"","Wetlands Acadian Cultural Center","(985) 448-1375","","Facility","Point",2024-05-28 00:00:00.0000000,"","258934","10086621","Facility",2304,True,False,False,"Image","Front entrance to visitor center.","We await you! Come explore our history!","https://cdn.recreation.gov/public/2020/10/09/18/22/258934_1535473d-48f3-47de-a4e2-9745f1768721.jpeg",3072,"2509","128","13950",False,""
"","No","jela_interpretation@nps.gov","258934",29.796188999999998,-90.824950999999999,"","Wetlands Acadian Cultural Center","(985) 448-1375","","Facility","Point",2024-05-28 00:00:00.0000000,"","258934","10086622","Facility",188,True,False,False,"Image","Discover some of our amazing stories of life on the Bayou in our museum!1","Come explore our history!","https://cdn.recreation.gov/public/2020/10/09/18/22/258934_4b59e236-e413-4886-b9d9-2459203f889c.jpeg",296,"2509","128","13950",False,""
"","No","ANDE_Information@nps.gov","258605",32.197498000000003,-84.127110000000002,"","National Prisoner of War Museum","(229) 924-0343","","Facility","Point",2021-12-23 00:00:00.0000000,"","258605","10073406","Facility",668,True,False,False,"Image","The Privation Gallery explores the torture and suffering endured by American prisoners of war.","Privation Gallery of the National POW Museum","https://cdn.recreation.gov/public/2020/08/17/22/59/258605_7d58fbdc-680e-4205-9e7b-08446edd758e.jpeg",799,"2568","128","2566",False,""
"","No","ANDE_Information@nps.gov","258605",32.197498000000003,-84.127110000000002,"","National Prisoner of War Museum","(229) 924-0343","","Facility","Point",2021-12-23 00:00:00.0000000,"","258605","10073402","Facility",3264,True,False,False,"Image","The National Prisoner of War Museum serves as the park visitor center.","National Prisoner of War Museum","https://cdn.recreation.gov/public/2020/08/17/22/39/258605_bac8a3b0-1804-427f-b0c5-039449edd53d.jpeg",4928,"2568","128","2566",False,""
"","No","ANDE_Information@nps.gov","258605",32.197498000000003,-84.127110000000002,"","National Prisoner of War Museum","(229) 924-0343","","Facility","Point",2021-12-23 00:00:00.0000000,"","258605","10073403","Facility",3264,True,False,False,"Image","\"The Price of Freedom Fully Paid\" Memorial Sculpture at the National POW Museum.","Memorial Courtyard of the National POW Museum","https://cdn.recreation.gov/public/2020/08/17/22/36/258605_939a16af-efd3-4d10-ad7a-30f029f2e4cb.jpeg",4928,"2568","128","2566",False,""
"","No","ANDE_Information@nps.gov","258605",32.197498000000003,-84.127110000000002,"","National Prisoner of War Museum","(229) 924-0343","","Facility","Point",2021-12-23 00:00:00.0000000,"","258605","10073404","Facility",2448,True,False,False,"Image","Each gallery of the National POW Museum is focused on the shared experiences of all American POWs. This room is focused on living conditions.","Living Conditions Gallery of the National POW Museum","https://cdn.recreation.gov/public/2020/08/17/22/49/258605_ebe1da70-d703-4129-a4bf-456e9fcc42f8.jpeg",3696,"2568","128","2566",False,""
"","No","chch_information@nps.gov","251540",34.940311000000001,-85.259940999999998,"","Chickamauga Battlefield Visitor Center","(706) 866-9241","","Facility","Point",2021-12-23 00:00:00.0000000,"","251540","10074549","Facility",1512,True,False,False,"Image","Almost one million patrons visit Chickamauga and Chattanooga National Military Park yearly.","Chickamauga Battlefield Visitor Center from LaFayette Road","https://cdn.recreation.gov/public/2020/08/22/17/23/251540_681e98cc-6804-4893-897d-d4a7c56cb86e.jpeg",2016,"1224","128","2627",False,""
"","No","chch_information@nps.gov","251540",34.940311000000001,-85.259940999999998,"","Chickamauga Battlefield Visitor Center","(706) 866-9241","","Facility","Point",2021-12-23 00:00:00.0000000,"","251540","10074550","Facility",1512,True,False,False,"Image","Although the area does not receive snow regularly, there are instances where it does happen.","Chickamauga Battlefield Visitor Center in Winter Snow","https://cdn.recreation.gov/public/2020/08/22/17/24/251540_62d78150-9259-4ea7-b688-c9063b9355fa.jpeg",2016,"1224","128","2627",False,""
"","No","LIRI_information@nps.gov","258987",34.398918000000002,-85.633916999999997,"","Jacksonville State University Little River Canyon Center","(256) 845-9605","","Facility","Point",2022-05-26 00:00:00.0000000,"","258987","10088443","Facility",3000,True,False,False,"Image","The main room of the JSU Little River Canyon Center is your starting point for the information desk, 20 minute movie, gift shopping, or just relaxing in this beautiful room.","Main Room of the Jacksonville State University Little River Canyon Center","https://cdn.recreation.gov/public/2020/10/16/15/07/258987_5af1467d-5974-48b0-a60a-9baf9f7ff637.jpeg",4000,"64","128","2809",False,""
"","No","LIRI_information@nps.gov","258987",34.398918000000002,-85.633916999999997,"","Jacksonville State University Little River Canyon Center","(256) 845-9605","","Facility","Point",2022-05-26 00:00:00.0000000,"","258987","10088444","Facility",3000,True,False,False,"Image","Learn about Jacksonville State University, Little River Canyon National Preserve, and the JSU Little River Canyon Center at this wall-sized welcome sign in the main room.","Partnership Wall at the Jacksonville State University Little River Canyon Center","https://cdn.recreation.gov/public/2020/10/16/15/11/258987_aef40b60-b159-4fa5-9a47-ce0a0a567a7a.jpeg",4000,"64","128","2809",False,""
"","No","LIRI_information@nps.gov","258987",34.398918000000002,-85.633916999999997,"","Jacksonville State University Little River Canyon Center","(256) 845-9605","","Facility","Point",2022-05-26 00:00:00.0000000,"","258987","10088446","Facility",3000,True,False,False,"Image","Learn about how Jacksonville State University is helping to educate visitors on the wonders of northeast Alabama and how their efforts support the economy and promote the ecology of this beautiful area.","Jacksonville State University Informative Display Hallway","https://cdn.recreation.gov/public/2020/10/16/15/14/258987_614e7532-83ed-40ca-b88a-3cffd6883b3c.jpeg",4000,"64","128","2809",False,""
"","No","LIRI_information@nps.gov","258987",34.398918000000002,-85.633916999999997,"","Jacksonville State University Little River Canyon Center","(256) 845-9605","","Facility","Point",2022-05-26 00:00:00.0000000,"","258987","10088447","Facility",2888,True,False,False,"Image","The back deck of the Jacksonville State University Little River Canyon Center leads visitors to a large green lawn, an event stage, and the Path To Learning Trail and Bridge Trail. Many JSU events are held in this lovely setting.","Back Deck, Lawn, and Stage at the Jacksonville State University Little River Canyon Center","https://cdn.recreation.gov/public/2020/10/16/15/37/258987_bcc55745-b229-4a96-971e-12daa90a2f59.jpeg",3851,"64","128","2809",False,""
"","No","natc_superintendent@nps.gov","259041",31.554746000000002,-91.412094999999994,"","Natchez Visitor Center","(601) 442-7047","","Facility","Point",2023-11-29 00:00:00.0000000,"","259041","10088490","Facility",236,True,False,False,"Image","The Natchez Visitors Center welcomes tens of thousands of people to the Natchez region each year.","exhibits at Natchez Visitors Center","https://cdn.recreation.gov/public/2020/10/16/18/46/259041_43974f2e-16a4-4c2a-b1e6-c2c3d4bacb90.jpeg",236,"2420","128","2871",False,""
"","No","natc_superintendent@nps.gov","259041",31.554746000000002,-91.412094999999994,"","Natchez Visitor Center","(601) 442-7047","","Facility","Point",2023-11-29 00:00:00.0000000,"","259041","10088494","Facility",350,True,False,False,"Image","The Natchez Visitors Center welcomes tens of thousands of people to the Natchez region each year.","Visitors enjoying the exhibits at Natchez Visitor Center","https://cdn.recreation.gov/public/2020/10/16/18/47/259041_9fd25a15-0024-4c6f-a802-bfc735a60db9.jpeg",1100,"2420","128","2871",False,""
"","No","natc_superintendent@nps.gov","259041",31.554746000000002,-91.412094999999994,"","Natchez Visitor Center","(601) 442-7047","","Facility","Point",2023-11-29 00:00:00.0000000,"","259041","10088497","Facility",200,True,False,False,"Image","Balloons flying over Natchez during the annual Balloon Race.","Balloons flying over Natchez","https://cdn.recreation.gov/public/2020/10/16/18/49/259041_58b41150-81b5-48f3-9b02-d8a604dd06e8.jpeg",300,"2420","128","2871",False,""
"","No","natc_superintendent@nps.gov","259041",31.554746000000002,-91.412094999999994,"","Natchez Visitor Center","(601) 442-7047","","Facility","Point",2023-11-29 00:00:00.0000000,"","259041","10088501","Facility",198,True,False,False,"Image","The Natchez Visitors Center welcomes tens of thousands of people to the Natchez region each year.","Twin bridges spanning the Mississippi River at Natchez","https://cdn.recreation.gov/public/2020/10/16/18/51/259041_2260cc16-2b6a-408c-9a93-c06ab0aad981.jpeg",940,"2420","128","2871",False,""
"","No","jela_interpretation@nps.gov","258930",30.213395999999999,-91.994157000000001,"","Acadian Cultural Center","(337) 232-0789","","Facility","Point",2024-06-12 00:00:00.0000000,"","258930","10086627","Facility",3024,True,True,True,"Image","Welcome to the Acadian Cultural Center","ACC Building","https://cdn.recreation.gov/public/2020/10/09/18/40/258930_232ad299-c296-4fa4-ab80-b1b69e389053.jpeg",4032,"2488","128","13950",False,""
"","No","jela_interpretation@nps.gov","258932",29.954740000000001,-90.064698000000007,"","French Quarter Visitor Center","(504) 589-2636","","Facility","Point",2023-09-20 00:00:00.0000000,"","258932","10086643","Facility",2724,True,True,True,"Image","Find our visitor center by spotting our sign that hangs above","Outside the Visitor Center","https://cdn.recreation.gov/public/2020/10/09/19/16/258932_bb20bf01-503a-4205-b356-c65d27b0a61b.jpeg",3634,"2507","128","13950",False,""
"","No","jela_interpretation@nps.gov","258933",30.493148999999999,-92.417309000000003,"","Prairie Acadian Cultural Center","(337) 457-8499","","Facility","Point",2024-06-12 00:00:00.0000000,"","258933","10088176","Facility",1936,True,True,True,"Image","Welcome to the Prairie Acadian Cultural Center!","PACC exterior","https://cdn.recreation.gov/public/2020/10/15/17/21/258933_bccc0bac-e48c-427e-a9bf-b0102960ccb6.jpeg",2592,"2508","128","13950",False,""
"","No","jela_interpretation@nps.gov","258931",29.783954000000001,-90.115526000000003,"","Barataria Preserve","(504) 689-3690","","Facility","Point",2024-06-13 00:00:00.0000000,"","258931","10088487","Facility",3024,True,True,True,"Image","The Visitor Center at Barataria Preserve provides exhibits, ranger talks, and information.","The Barataria Preserve Visitor Center","https://cdn.recreation.gov/public/2020/10/16/18/40/258931_36b419e4-a048-420c-84df-1114fcbe58f5.jpeg",4032,"2489","128","13950",False,""
"","No","jela_interpretation@nps.gov","258935",29.942135,-89.994352000000006,"","Chalmette Battlefield and Chalmette National Cemetery","(504) 281-0510","","Facility","Point",2024-06-14 00:00:00.0000000,"","258935","10087979","Facility",1440,True,True,True,"Image","An American cannon sits at the rampart overlooking the battlefield. Behind it is the American flag, the Chalmette Monument, and the Visitor Center.","The American Rampart at Chalmette","https://cdn.recreation.gov/public/2024/06/14/16/47/258935_b14482ce-6d65-46d7-84c4-82769021a773.jpeg",1920,"2511","128","13950",False,""
"","No","jela_interpretation@nps.gov","258934",29.796188999999998,-90.824950999999999,"","Wetlands Acadian Cultural Center","(985) 448-1375","","Facility","Point",2024-05-28 00:00:00.0000000,"","258934","10086619","Facility",2069,True,True,True,"Image","Join us for an adventure on the Bayou!","Bayou Lafourche Boat Tour","https://cdn.recreation.gov/public/2020/10/09/18/15/258934_b4a0d176-18d8-4378-a8df-b9083451fa5e.jpeg",4288,"2509","128","13950",False,""
"","No","ANDE_Information@nps.gov","258605",32.197498000000003,-84.127110000000002,"","National Prisoner of War Museum","(229) 924-0343","","Facility","Point",2021-12-23 00:00:00.0000000,"","258605","10073401","Facility",2848,True,True,True,"Image","The National Prisoner of War Museum is dedicated to the men and women of this country who suffered captivity so that others could remain free.","National Prisoner of War Museum","https://cdn.recreation.gov/public/2020/08/17/22/19/258605_57862b83-d31a-43cf-9bdb-6fc638397139.jpeg",4272,"2568","128","2566",False,""
"","No","chch_information@nps.gov","258588",35.009644999999999,-85.343862000000001,"","Lookout Mountain Battlefield Visitor Center","(423) 821-7786","","Facility","Point",2021-12-23 00:00:00.0000000,"","258588","10074552","Facility",3024,True,True,True,"Image","Seen from one of the Army Corp's of Engineer's castle turrets, Lookout Mountain Battlefield Visitor Center houses the 13 foot x 30 foot James Walker Painting, entitled \"The Battle of Lookout Mountain.\"","Lookout Mountain Battlefield Visitor Center","https://cdn.recreation.gov/public/2020/08/22/18/06/258588_5e9f9f34-431d-4d21-a8b8-ae660a220c5e.jpeg",4032,"1227","128","2627",False,""
"","No","chch_information@nps.gov","251540",34.940311000000001,-85.259940999999998,"","Chickamauga Battlefield Visitor Center","(706) 866-9241","","Facility","Point",2021-12-23 00:00:00.0000000,"","251540","10074548","Facility",1512,True,True,True,"Image","This visitor center building houses many exhibits about the battle, as well as the well-known Claude Fuller Gun Collection.","Chickamauga Battlefield Visitor Center","https://cdn.recreation.gov/public/2020/08/22/17/21/251540_9e444a33-c469-41e4-bae6-82db57e99d1f.jpeg",2016,"1224","128","2627",False,""
"","No","LIRI_information@nps.gov","258987",34.398918000000002,-85.633916999999997,"","Jacksonville State University Little River Canyon Center","(256) 845-9605","","Facility","Point",2022-05-26 00:00:00.0000000,"","258987","10085248","Facility",2160,True,True,True,"Image","The Jacksonville State University Little River Canyon Center is your first stop for information and gift shopping during your visit to Little River Canyon National Preserve","Jacksonville State University Little River Canyon Center","https://cdn.recreation.gov/public/2020/10/05/14/21/258987_96ffd472-ed89-4445-abd2-f06b07dbbf80.jpeg",4320,"64","128","2809",False,""
"","No","natc_superintendent@nps.gov","259041",31.554746000000002,-91.412094999999994,"","Natchez Visitor Center","(601) 442-7047","","Facility","Point",2023-11-29 00:00:00.0000000,"","259041","10086635","Facility",134,True,True,True,"Image","The Natchez Visitors Center welcomes tens of thousands of people to the Natchez region each year.","Natchez Visitors Center","https://cdn.recreation.gov/public/2020/10/16/18/44/259041_98244b5f-eec2-4ce3-a8df-dbab00922d57.jpeg",200,"2420","128","2871",False,""
